pgmid,vehicle_count,pepkspeed,timestamp,location,created_at
PMG04648,3,51.62,08:05:21.335,"32.8945,-96.57679",2025-10-27T08:05:21.336452Z
PMG04648,3,40.73,08:05:22.052,"32.8945,-96.57679",2025-10-27T08:05:22.053577Z
PMG01696,1,45.71,08:05:22.834,"32.8945,-96.57679",2025-10-27T08:05:22.835746Z
PMG01696,3,35.11,08:05:23.551,"32.8945,-96.57679",2025-10-27T08:05:23.552949Z
PMG01696,4,34.05,08:05:24.270,"32.8945,-96.57679",2025-10-27T08:05:24.271564Z
PMG01696,5,40.57,08:05:24.986,"32.8945,-96.57679",2025-10-27T08:05:24.987901Z
PMG01696,1,37.58,08:05:25.706,"32.8945,-96.57679",2025-10-27T08:05:25.707274Z
PMG08694,2,48.79,08:05:26.408,"32.8945,-96.57679",2025-10-27T08:05:26.409090Z
PMG08694,5,36.69,08:05:27.151,"32.8945,-96.57679",2025-10-27T08:05:27.151674Z
PMG01834,3,31.36,08:05:27.861,"32.8945,-96.57679",2025-10-27T08:05:27.862576Z
PMG01834,2,46.68,08:05:28.593,"32.8945,-96.57679",2025-10-27T08:05:28.594789Z
PMG01834,1,33.06,08:05:29.329,"32.8945,-96.57679",2025-10-27T08:05:29.330520Z
PMG01834,2,47.55,08:05:30.061,"32.8945,-96.57679",2025-10-27T08:05:30.062256Z
PMG03780,2,38.72,08:05:30.764,"32.8945,-96.57679",2025-10-27T08:05:30.765098Z
PMG03780,5,35.23,08:05:31.509,"32.8945,-96.57679",2025-10-27T08:05:31.509734Z
PMG03107,5,37.43,08:05:32.230,"32.8945,-96.57679",2025-10-27T08:05:32.230741Z
PMG03107,5,44.72,08:05:32.952,"32.8945,-96.57679",2025-10-27T08:05:32.953384Z
PMG03107,2,35.51,08:05:33.666,"32.8945,-96.57679",2025-10-27T08:05:33.666975Z
PMG03107,5,37.44,08:05:34.389,"32.8945,-96.57679",2025-10-27T08:05:34.390823Z
PMG02841,3,41.1,08:05:35.138,"32.8945,-96.57679",2025-10-27T08:05:35.139143Z
PMG02841,3,42.71,08:05:35.853,"32.8945,-96.57679",2025-10-27T08:05:35.854188Z
PMG02841,5,39.35,08:05:36.578,"32.8945,-96.57679",2025-10-27T08:05:36.579016Z
PMG03138,1,43.11,08:05:37.316,"32.8945,-96.57679",2025-10-27T08:05:37.316559Z
PMG03138,3,41.92,08:05:38.036,"32.8945,-96.57679",2025-10-27T08:05:38.036864Z
PMG03138,4,37.89,08:05:38.751,"32.8945,-96.57679",2025-10-27T08:05:38.752731Z
PMG09259,3,45.69,08:05:39.461,"32.8945,-96.57679",2025-10-27T08:05:39.462026Z
PMG09259,4,37.98,08:05:40.181,"32.8945,-96.57679",2025-10-27T08:05:40.182309Z
PMG09259,2,48.87,08:05:40.895,"32.8945,-96.57679",2025-10-27T08:05:40.896372Z
PMG01124,1,43.89,08:05:41.619,"32.8945,-96.57679",2025-10-27T08:05:41.620755Z
PMG01124,4,38.89,08:05:42.325,"32.8945,-96.57679",2025-10-27T08:05:42.325755Z
PMG01124,1,47.47,08:05:43.041,"32.8945,-96.57679",2025-10-27T08:05:43.042448Z
PMG01124,1,40.46,08:05:43.778,"32.8945,-96.57679",2025-10-27T08:05:43.779976Z
PMG01124,2,40.51,08:05:44.493,"32.8945,-96.57679",2025-10-27T08:05:44.494676Z
PMG06820,2,38.32,08:05:45.229,"32.8945,-96.57679",2025-10-27T08:05:45.230422Z
PMG06820,2,50.72,08:05:45.947,"32.8945,-96.57679",2025-10-27T08:05:45.948021Z
PMG00409,3,35.7,08:05:46.696,"32.8945,-96.57679",2025-10-27T08:05:46.697429Z
PMG00409,1,43.03,08:05:47.491,"32.8945,-96.57679",2025-10-27T08:05:47.491462Z
PMG00409,1,47.62,08:05:48.205,"32.8945,-96.57679",2025-10-27T08:05:48.206032Z
PMG09378,5,51.09,08:05:48.936,"32.8945,-96.57679",2025-10-27T08:05:48.937514Z
PMG09378,3,34.65,08:05:49.661,"32.8945,-96.57679",2025-10-27T08:05:49.662929Z
PMG09378,1,46.32,08:05:50.376,"32.8945,-96.57679",2025-10-27T08:05:50.377524Z
PMG04326,1,40.55,08:05:51.095,"32.8945,-96.57679",2025-10-27T08:05:51.095638Z
PMG04326,1,35.31,08:05:51.831,"32.8945,-96.57679",2025-10-27T08:05:51.832601Z
PMG04034,1,42.62,08:05:52.552,"32.8945,-96.57679",2025-10-27T08:05:52.553132Z
PMG04034,3,45.8,08:05:53.266,"32.8945,-96.57679",2025-10-27T08:05:53.266528Z
PMG04034,4,34.43,08:05:53.979,"32.8945,-96.57679",2025-10-27T08:05:53.979845Z
PMG04034,4,44.57,08:05:54.689,"32.8945,-96.57679",2025-10-27T08:05:54.690261Z
PMG04034,4,43.18,08:05:55.436,"32.8945,-96.57679",2025-10-27T08:05:55.437164Z
PMG07633,2,37.91,08:05:56.145,"32.8945,-96.57679",2025-10-27T08:05:56.146399Z
PMG07633,4,35.35,08:05:56.851,"32.8945,-96.57679",2025-10-27T08:05:56.852327Z
PMG07633,4,49.46,08:05:57.561,"32.8945,-96.57679",2025-10-27T08:05:57.561416Z
PMG00709,1,45.68,08:05:58.272,"32.8945,-96.57679",2025-10-27T08:05:58.272678Z
PMG00709,4,50.51,08:05:58.983,"32.8945,-96.57679",2025-10-27T08:05:58.983643Z
PMG00709,5,32.82,08:05:59.690,"32.8945,-96.57679",2025-10-27T08:05:59.691465Z
PMG00709,4,46.02,08:06:00.440,"32.8945,-96.57679",2025-10-27T08:06:00.441620Z
PMG00709,2,43.94,08:06:01.146,"32.8945,-96.57679",2025-10-27T08:06:01.147367Z
PMG06299,4,46.87,08:06:01.851,"32.8945,-96.57679",2025-10-27T08:06:01.852448Z
PMG06299,1,35.07,08:06:02.563,"32.8945,-96.57679",2025-10-27T08:06:02.564147Z
PMG06299,2,39.61,08:06:03.277,"32.8945,-96.57679",2025-10-27T08:06:03.278811Z
PMG06299,5,36.87,08:06:03.973,"32.8945,-96.57679",2025-10-27T08:06:03.975174Z
PMG04011,2,36.02,08:06:04.688,"32.8945,-96.57679",2025-10-27T08:06:04.689374Z
PMG04011,5,35.58,08:06:05.408,"32.8945,-96.57679",2025-10-27T08:06:05.409680Z
PMG04011,5,34.79,08:06:06.122,"32.8945,-96.57679",2025-10-27T08:06:06.123719Z
PMG04011,5,41.87,08:06:06.846,"32.8945,-96.57679",2025-10-27T08:06:06.848293Z
PMG01089,1,42.51,08:06:07.564,"32.8945,-96.57679",2025-10-27T08:06:07.565245Z
PMG01089,2,39.63,08:06:08.277,"32.8945,-96.57679",2025-10-27T08:06:08.278634Z
PMG01089,4,42.66,08:06:09.020,"32.8945,-96.57679",2025-10-27T08:06:09.021231Z
PMG01089,3,41.51,08:06:09.742,"32.8945,-96.57679",2025-10-27T08:06:09.743873Z
PMG06932,3,36.41,08:06:10.462,"32.8945,-96.57679",2025-10-27T08:06:10.462963Z
PMG06932,4,42.65,08:06:11.211,"32.8945,-96.57679",2025-10-27T08:06:11.212288Z
PMG06932,5,39.31,08:06:11.928,"32.8945,-96.57679",2025-10-27T08:06:11.928829Z
PMG07856,1,38.24,08:06:12.628,"32.8945,-96.57679",2025-10-27T08:06:12.628627Z
PMG07856,3,41.52,08:06:13.336,"32.8945,-96.57679",2025-10-27T08:06:13.336683Z
PMG07856,5,39.98,08:06:14.085,"32.8945,-96.57679",2025-10-27T08:06:14.087061Z
PMG08684,1,33.97,08:06:14.795,"32.8945,-96.57679",2025-10-27T08:06:14.796116Z
PMG08684,5,40.95,08:06:15.596,"32.8945,-96.57679",2025-10-27T08:06:15.597408Z
PMG04350,1,41.4,08:06:16.324,"32.8945,-96.57679",2025-10-27T08:06:16.325815Z
PMG04350,3,39.01,08:06:17.050,"32.8945,-96.57679",2025-10-27T08:06:17.051712Z
PMG04350,5,43.31,08:06:17.769,"32.8945,-96.57679",2025-10-27T08:06:17.770942Z
PMG09870,2,33.36,08:06:18.533,"32.8945,-96.57679",2025-10-27T08:06:18.534230Z
PMG09870,4,42.66,08:06:19.270,"32.8945,-96.57679",2025-10-27T08:06:19.271425Z
PMG09870,3,39.88,08:06:19.978,"32.8945,-96.57679",2025-10-27T08:06:19.980168Z
PMG09450,2,34.65,08:06:20.685,"32.8945,-96.57679",2025-10-27T08:06:20.686683Z
PMG09450,3,42.14,08:06:21.400,"32.8945,-96.57679",2025-10-27T08:06:21.401538Z
PMG09450,3,41.99,08:06:22.123,"32.8945,-96.57679",2025-10-27T08:06:22.124656Z
PMG04259,3,43.76,08:06:22.826,"32.8945,-96.57679",2025-10-27T08:06:22.827410Z
PMG04259,2,44.14,08:06:23.534,"32.8945,-96.57679",2025-10-27T08:06:23.535532Z
PMG04259,4,38.74,08:06:24.258,"32.8945,-96.57679",2025-10-27T08:06:24.259265Z
PMG03844,2,38.77,08:06:24.975,"32.8945,-96.57679",2025-10-27T08:06:24.976314Z
PMG03844,4,36.1,08:06:25.698,"32.8945,-96.57679",2025-10-27T08:06:25.699907Z
PMG03844,3,39.85,08:06:26.451,"32.8945,-96.57679",2025-10-27T08:06:26.451954Z
PMG03844,3,39.39,08:06:27.165,"32.8945,-96.57679",2025-10-27T08:06:27.166440Z
PMG03844,4,44.59,08:06:27.894,"32.8945,-96.57679",2025-10-27T08:06:27.895552Z
PMG00253,3,41.99,08:06:28.644,"32.8945,-96.57679",2025-10-27T08:06:28.645691Z
PMG00253,5,49.47,08:06:29.379,"32.8945,-96.57679",2025-10-27T08:06:29.380504Z
PMG00253,4,36.89,08:06:30.107,"32.8945,-96.57679",2025-10-27T08:06:30.108300Z
PMG04267,2,44.46,08:06:30.824,"32.8945,-96.57679",2025-10-27T08:06:30.824702Z
PMG04267,1,40.77,08:06:31.536,"32.8945,-96.57679",2025-10-27T08:06:31.537277Z
PMG04267,1,32.06,08:06:32.273,"32.8945,-96.57679",2025-10-27T08:06:32.274947Z
PMG04267,3,34.14,08:06:33.029,"32.8945,-96.57679",2025-10-27T08:06:33.030446Z
PMG04267,2,36.74,08:06:33.738,"32.8945,-96.57679",2025-10-27T08:06:33.739979Z
PMG02104,5,42.24,08:06:34.489,"32.8945,-96.57679",2025-10-27T08:06:34.490144Z
PMG02104,3,47.2,08:06:35.220,"32.8945,-96.57679",2025-10-27T08:06:35.221224Z
PMG02104,4,40.56,08:06:35.968,"32.8945,-96.57679",2025-10-27T08:06:35.969427Z
PMG04908,2,42.17,08:06:36.694,"32.8945,-96.57679",2025-10-27T08:06:36.695960Z
PMG04908,5,42.1,08:06:37.412,"32.8945,-96.57679",2025-10-27T08:06:37.413624Z
PMG06969,3,35.41,08:06:38.121,"32.8945,-96.57679",2025-10-27T08:06:38.122975Z
PMG06969,2,37.9,08:06:38.828,"32.8945,-96.57679",2025-10-27T08:06:38.829919Z
PMG08481,1,53.84,08:06:39.557,"32.8945,-96.57679",2025-10-27T08:06:39.558903Z
PMG08481,5,41.62,08:06:40.283,"32.8945,-96.57679",2025-10-27T08:06:40.285078Z
PMG08481,5,40.32,08:06:41.006,"32.8945,-96.57679",2025-10-27T08:06:41.007586Z
PMG08481,3,35.09,08:06:41.740,"32.8945,-96.57679",2025-10-27T08:06:41.741339Z
PMG05987,1,44.36,08:06:42.489,"32.8945,-96.57679",2025-10-27T08:06:42.490413Z
PMG05987,1,41.37,08:06:43.225,"32.8945,-96.57679",2025-10-27T08:06:43.226512Z
PMG05987,2,45.8,08:06:43.944,"32.8945,-96.57679",2025-10-27T08:06:43.945861Z
PMG05987,2,43.34,08:06:44.702,"32.8945,-96.57679",2025-10-27T08:06:44.703106Z
PMG03776,2,44.88,08:06:45.445,"32.8945,-96.57679",2025-10-27T08:06:45.446057Z
PMG03776,2,44.2,08:06:46.163,"32.8945,-96.57679",2025-10-27T08:06:46.164397Z
PMG03776,1,33.62,08:06:46.916,"32.8945,-96.57679",2025-10-27T08:06:46.917320Z
PMG06479,5,36.81,08:06:47.627,"32.8945,-96.57679",2025-10-27T08:06:47.627395Z
PMG06479,1,39.85,08:06:48.368,"32.8945,-96.57679",2025-10-27T08:06:48.369378Z
PMG06479,2,40.59,08:06:49.099,"32.8945,-96.57679",2025-10-27T08:06:49.100868Z
PMG06479,4,38.86,08:06:49.818,"32.8945,-96.57679",2025-10-27T08:06:49.819778Z
PMG06479,5,41.81,08:06:50.581,"32.8945,-96.57679",2025-10-27T08:06:50.581590Z
PMG06177,1,42.65,08:06:51.294,"32.8945,-96.57679",2025-10-27T08:06:51.296177Z
PMG06177,5,36.81,08:06:52.061,"32.8945,-96.57679",2025-10-27T08:06:52.062784Z
PMG05081,5,38.34,08:06:52.782,"32.8945,-96.57679",2025-10-27T08:06:52.783874Z
PMG05081,1,25.48,08:06:53.544,"32.8945,-96.57679",2025-10-27T08:06:53.545986Z
PMG05081,2,25.96,08:06:54.257,"32.8945,-96.57679",2025-10-27T08:06:54.258343Z
PMG02509,4,32.42,08:06:54.987,"32.8945,-96.57679",2025-10-27T08:06:54.988508Z
PMG02509,4,42.13,08:06:55.711,"32.8945,-96.57679",2025-10-27T08:06:55.712303Z
PMG02509,4,39.97,08:06:56.419,"32.8945,-96.57679",2025-10-27T08:06:56.420365Z
PMG01581,3,45.23,08:06:57.128,"32.8945,-96.57679",2025-10-27T08:06:57.129487Z
PMG01581,2,50.76,08:06:57.870,"32.8945,-96.57679",2025-10-27T08:06:57.871217Z
PMG01581,5,28.43,08:06:58.608,"32.8945,-96.57679",2025-10-27T08:06:58.609591Z
PMG01581,4,48.11,08:06:59.353,"32.8945,-96.57679",2025-10-27T08:06:59.354107Z
PMG01581,2,36.73,08:07:00.073,"32.8945,-96.57679",2025-10-27T08:07:00.074255Z
PMG06393,2,49.39,08:07:00.778,"32.8945,-96.57679",2025-10-27T08:07:00.779422Z
PMG06393,4,36.67,08:07:01.521,"32.8945,-96.57679",2025-10-27T08:07:01.522439Z
PMG06393,5,37.42,08:07:02.230,"32.8945,-96.57679",2025-10-27T08:07:02.230563Z
PMG04378,4,42.63,08:07:02.955,"32.8945,-96.57679",2025-10-27T08:07:02.956375Z
PMG04378,3,42.88,08:07:03.670,"32.8945,-96.57679",2025-10-27T08:07:03.671769Z
PMG04378,4,42.61,08:07:04.390,"32.8945,-96.57679",2025-10-27T08:07:04.390872Z
PMG04378,2,40.83,08:07:05.107,"32.8945,-96.57679",2025-10-27T08:07:05.108388Z
PMG04378,2,44.08,08:07:05.843,"32.8945,-96.57679",2025-10-27T08:07:05.843517Z
PMG03497,3,40.85,08:07:06.551,"32.8945,-96.57679",2025-10-27T08:07:06.552570Z
PMG03497,4,42.96,08:07:07.271,"32.8945,-96.57679",2025-10-27T08:07:07.272379Z
PMG03497,4,35.34,08:07:07.987,"32.8945,-96.57679",2025-10-27T08:07:07.988923Z
PMG03497,4,35.66,08:07:08.714,"32.8945,-96.57679",2025-10-27T08:07:08.716107Z
PMG03497,1,45.56,08:07:09.423,"32.8945,-96.57679",2025-10-27T08:07:09.423455Z
PMG00517,1,37.84,08:07:10.166,"32.8945,-96.57679",2025-10-27T08:07:10.167961Z
PMG00517,5,38.19,08:07:10.911,"32.8945,-96.57679",2025-10-27T08:07:10.912707Z
PMG07771,1,44.39,08:07:11.623,"32.8945,-96.57679",2025-10-27T08:07:11.624368Z
PMG07771,4,41.6,08:07:12.338,"32.8945,-96.57679",2025-10-27T08:07:12.339424Z
PMG06184,4,34.65,08:07:13.059,"32.8945,-96.57679",2025-10-27T08:07:13.060204Z
PMG06184,5,43.4,08:07:13.798,"32.8945,-96.57679",2025-10-27T08:07:13.800197Z
PMG06419,4,42.52,08:07:14.512,"32.8945,-96.57679",2025-10-27T08:07:14.514033Z
PMG06419,1,39.32,08:07:15.252,"32.8945,-96.57679",2025-10-27T08:07:15.253353Z
PMG03711,1,38.05,08:07:15.983,"32.8945,-96.57679",2025-10-27T08:07:15.984910Z
PMG03711,2,41.34,08:07:16.752,"32.8945,-96.57679",2025-10-27T08:07:16.753314Z
PMG06761,2,43.17,08:07:17.461,"32.8945,-96.57679",2025-10-27T08:07:17.462774Z
PMG06761,3,41.93,08:07:18.176,"32.8945,-96.57679",2025-10-27T08:07:18.176646Z
PMG06761,4,40.69,08:07:18.920,"32.8945,-96.57679",2025-10-27T08:07:18.921375Z
PMG06761,3,35.47,08:07:19.655,"32.8945,-96.57679",2025-10-27T08:07:19.656384Z
PMG06761,4,40.47,08:07:20.380,"32.8945,-96.57679",2025-10-27T08:07:20.381344Z
PMG00775,4,37.39,08:07:21.100,"32.8945,-96.57679",2025-10-27T08:07:21.100914Z
PMG00775,3,47.83,08:07:21.808,"32.8945,-96.57679",2025-10-27T08:07:21.809729Z
PMG00775,2,36.24,08:07:22.516,"32.8945,-96.57679",2025-10-27T08:07:22.517461Z
PMG00775,2,38.5,08:07:23.230,"32.8945,-96.57679",2025-10-27T08:07:23.231936Z
PMG00775,4,40.83,08:07:23.962,"32.8945,-96.57679",2025-10-27T08:07:23.963670Z
PMG02543,2,39.72,08:07:24.711,"32.8945,-96.57679",2025-10-27T08:07:24.712304Z
PMG02543,2,39.96,08:07:25.429,"32.8945,-96.57679",2025-10-27T08:07:25.430449Z
PMG01686,1,40.8,08:07:26.140,"32.8945,-96.57679",2025-10-27T08:07:26.141291Z
PMG01686,1,36.13,08:07:26.843,"32.8945,-96.57679",2025-10-27T08:07:26.845131Z
PMG01686,2,41.82,08:07:27.593,"32.8945,-96.57679",2025-10-27T08:07:27.593912Z
PMG05615,4,41.51,08:07:28.308,"32.8945,-96.57679",2025-10-27T08:07:28.308898Z
PMG05615,4,40.35,08:07:29.030,"32.8945,-96.57679",2025-10-27T08:07:29.031598Z
PMG05615,4,39.63,08:07:29.773,"32.8945,-96.57679",2025-10-27T08:07:29.773687Z
PMG05615,2,48.27,08:07:30.505,"32.8945,-96.57679",2025-10-27T08:07:30.506950Z
PMG05615,3,33.68,08:07:31.257,"32.8945,-96.57679",2025-10-27T08:07:31.258654Z
PMG08177,1,39.68,08:07:32.020,"32.8945,-96.57679",2025-10-27T08:07:32.021268Z
PMG08177,1,40.67,08:07:32.763,"32.8945,-96.57679",2025-10-27T08:07:32.765026Z
PMG08177,4,34.55,08:07:33.505,"32.8945,-96.57679",2025-10-27T08:07:33.505426Z
PMG08177,2,37.87,08:07:34.228,"32.8945,-96.57679",2025-10-27T08:07:34.229345Z
PMG06539,3,40.3,08:07:34.972,"32.8945,-96.57679",2025-10-27T08:07:34.973372Z
PMG06539,4,41.66,08:07:35.692,"32.8945,-96.57679",2025-10-27T08:07:35.693539Z
PMG06539,3,33.66,08:07:36.424,"32.8945,-96.57679",2025-10-27T08:07:36.425228Z
PMG06539,2,36.78,08:07:37.144,"32.8945,-96.57679",2025-10-27T08:07:37.145653Z
PMG09503,2,37.18,08:07:37.860,"32.8945,-96.57679",2025-10-27T08:07:37.861232Z
PMG09503,5,37.7,08:07:38.579,"32.8945,-96.57679",2025-10-27T08:07:38.580334Z
PMG02982,1,40.88,08:07:39.307,"32.8945,-96.57679",2025-10-27T08:07:39.308303Z
PMG02982,1,41.2,08:07:40.034,"32.8945,-96.57679",2025-10-27T08:07:40.035954Z
PMG02982,4,45.25,08:07:40.761,"32.8945,-96.57679",2025-10-27T08:07:40.762557Z
PMG02982,2,45.24,08:07:41.523,"32.8945,-96.57679",2025-10-27T08:07:41.524133Z
PMG02982,1,32.58,08:07:42.235,"32.8945,-96.57679",2025-10-27T08:07:42.237117Z
PMG01596,1,41.95,08:07:42.971,"32.8945,-96.57679",2025-10-27T08:07:42.973130Z
PMG01596,2,42.89,08:07:43.728,"32.8945,-96.57679",2025-10-27T08:07:43.729232Z
PMG01596,5,33.15,08:07:44.459,"32.8945,-96.57679",2025-10-27T08:07:44.461158Z
PMG01596,4,42.97,08:07:45.185,"32.8945,-96.57679",2025-10-27T08:07:45.186809Z
PMG01596,2,41.18,08:07:45.903,"32.8945,-96.57679",2025-10-27T08:07:45.905101Z
PMG07569,1,37.54,08:07:46.659,"32.8945,-96.57679",2025-10-27T08:07:46.660774Z
PMG07569,2,36.61,08:07:47.411,"32.8945,-96.57679",2025-10-27T08:07:47.411914Z
PMG07569,2,36.25,08:07:48.131,"32.8945,-96.57679",2025-10-27T08:07:48.132999Z
PMG05180,3,40.13,08:07:48.867,"32.8945,-96.57679",2025-10-27T08:07:48.868940Z
PMG05180,5,38.83,08:07:49.629,"32.8945,-96.57679",2025-10-27T08:07:49.630457Z
PMG05180,1,46.0,08:07:50.364,"32.8945,-96.57679",2025-10-27T08:07:50.366198Z
PMG09824,5,34.45,08:07:51.079,"32.8945,-96.57679",2025-10-27T08:07:51.080245Z
PMG09824,4,39.56,08:07:51.805,"32.8945,-96.57679",2025-10-27T08:07:51.806775Z
PMG09824,2,35.59,08:07:52.514,"32.8945,-96.57679",2025-10-27T08:07:52.515185Z
PMG01383,5,37.76,08:07:53.216,"32.8945,-96.57679",2025-10-27T08:07:53.218090Z
PMG01383,4,40.32,08:07:53.958,"32.8945,-96.57679",2025-10-27T08:07:53.959232Z
PMG01383,4,32.95,08:07:54.671,"32.8945,-96.57679",2025-10-27T08:07:54.672428Z
PMG01383,5,38.89,08:07:55.385,"32.8945,-96.57679",2025-10-27T08:07:55.386753Z
PMG05949,4,43.31,08:07:56.140,"32.8945,-96.57679",2025-10-27T08:07:56.141501Z
PMG05949,1,40.6,08:07:56.874,"32.8945,-96.57679",2025-10-27T08:07:56.875240Z
PMG05949,5,42.26,08:07:57.651,"32.8945,-96.57679",2025-10-27T08:07:57.651694Z
PMG06018,2,40.25,08:07:58.378,"32.8945,-96.57679",2025-10-27T08:07:58.379257Z
PMG06018,5,48.46,08:07:59.102,"32.8945,-96.57679",2025-10-27T08:07:59.104101Z
PMG00045,5,37.32,08:07:59.858,"32.8945,-96.57679",2025-10-27T08:07:59.860211Z
PMG00045,5,42.91,08:08:00.585,"32.8945,-96.57679",2025-10-27T08:08:00.586347Z
PMG00089,2,39.39,08:08:01.303,"32.8945,-96.57679",2025-10-27T08:08:01.303985Z
PMG00089,3,38.05,08:08:02.014,"32.8945,-96.57679",2025-10-27T08:08:02.014720Z
PMG00089,1,49.64,08:08:02.737,"32.8945,-96.57679",2025-10-27T08:08:02.738733Z
PMG04059,5,44.71,08:08:03.461,"32.8945,-96.57679",2025-10-27T08:08:03.462682Z
PMG04059,4,41.59,08:08:04.185,"32.8945,-96.57679",2025-10-27T08:08:04.186845Z
PMG08748,2,36.95,08:08:04.919,"32.8945,-96.57679",2025-10-27T08:08:04.920231Z
PMG08748,2,39.48,08:08:05.644,"32.8945,-96.57679",2025-10-27T08:08:05.644725Z
PMG08748,1,39.72,08:08:06.361,"32.8945,-96.57679",2025-10-27T08:08:06.362636Z
PMG08748,3,44.97,08:08:07.090,"32.8945,-96.57679",2025-10-27T08:08:07.090516Z
PMG06025,5,40.65,08:08:07.840,"32.8945,-96.57679",2025-10-27T08:08:07.841324Z
PMG06025,5,48.66,08:08:08.566,"32.8945,-96.57679",2025-10-27T08:08:08.567537Z
PMG06025,5,41.19,08:08:09.301,"32.8945,-96.57679",2025-10-27T08:08:09.302720Z
PMG06025,3,44.56,08:08:10.033,"32.8945,-96.57679",2025-10-27T08:08:10.034263Z
PMG06025,5,40.21,08:08:10.785,"32.8945,-96.57679",2025-10-27T08:08:10.786215Z
PMG03004,2,30.72,08:08:11.494,"32.8945,-96.57679",2025-10-27T08:08:11.495821Z
PMG03004,3,37.68,08:08:12.213,"32.8945,-96.57679",2025-10-27T08:08:12.214460Z
PMG03004,4,33.79,08:08:12.927,"32.8945,-96.57679",2025-10-27T08:08:12.928311Z
PMG03004,3,42.91,08:08:13.652,"32.8945,-96.57679",2025-10-27T08:08:13.653305Z
PMG06114,3,32.34,08:08:14.363,"32.8945,-96.57679",2025-10-27T08:08:14.364508Z
PMG06114,5,41.39,08:08:15.098,"32.8945,-96.57679",2025-10-27T08:08:15.099574Z
PMG06114,4,46.3,08:08:15.818,"32.8945,-96.57679",2025-10-27T08:08:15.819222Z
PMG06114,1,46.92,08:08:16.531,"32.8945,-96.57679",2025-10-27T08:08:16.533038Z
PMG06114,5,42.67,08:08:17.296,"32.8945,-96.57679",2025-10-27T08:08:17.297466Z
PMG01780,2,41.92,08:08:18.028,"32.8945,-96.57679",2025-10-27T08:08:18.029264Z
PMG01780,3,39.34,08:08:18.754,"32.8945,-96.57679",2025-10-27T08:08:18.755319Z
PMG01780,4,43.55,08:08:19.499,"32.8945,-96.57679",2025-10-27T08:08:19.500561Z
PMG01780,1,42.66,08:08:20.228,"32.8945,-96.57679",2025-10-27T08:08:20.229438Z
PMG01780,5,35.26,08:08:20.947,"32.8945,-96.57679",2025-10-27T08:08:20.948674Z
PMG00802,3,33.64,08:08:21.662,"32.8945,-96.57679",2025-10-27T08:08:21.663584Z
PMG00802,4,40.51,08:08:22.382,"32.8945,-96.57679",2025-10-27T08:08:22.383710Z
PMG00802,4,36.74,08:08:23.133,"32.8945,-96.57679",2025-10-27T08:08:23.134728Z
PMG00802,1,38.06,08:08:23.885,"32.8945,-96.57679",2025-10-27T08:08:23.886662Z
